id,provincia,canton,nombre,tipo_parroquia
7500,13,445,GENERAL ELOY ALFARO DELGA,Urbana
1330,21,625,GENERAL FARFAN,Rural
1355,1,280,GIMA,Rural
5395,1,270,GIRON,Urbana
5415,4,5,GONZALEZ SUAREZ,Urbana
5405,4,10,GONZALEZ SUAREZ,Urbana
1360,10,35,GONZALEZ SUAREZ,Rural
1020,15,255,GONZALO DIAZ DE PINEDA,Rural
1090,21,865,GONZALO PIZARRO,Rural
5400,11,335,GONZANAMA,Urbana
1370,6,220,GONZOL,Rural
6270,24,405,GRAL. A. E. GALLO,Urbana
5390,14,600,GRAL. LEONIDAS PLAZA,Urbana
1345,14,590,GRAL. PROAÑO,Rural
1350,9,430,GRAL. VERNAZA,Rural
6620,9,985,GRAL.ELIZALDE /BUCAY,Urbana
5385,11,325,GRAL.ELOY ALFARO,Urbana
1335,3,240,GRAL.MORALES / SOCARTE,Rural
1340,9,395,GRAL.PEDRO MONTERO,Rural
6255,9,735,GRAL.VILLAMIL / PLAYAS,Urbana
1380,11,310,GUACHANAMA,Rural
6615,1,990,GUACHAPALA,Urbana
1390,19,655,GUADALUPE,Rural
5420,1,265,GUALACEO,Urbana
5425,14,595,GUALAQUIZA,Urbana
1395,13,495,GUALE/STO.DOMINGO,Rural
1400,17,60,GUALEA,Rural
1405,11,300,GUALEL,Rural
1410,3,240,GUALLETURO,Rural
7165,17,60,GUAMANI,Urbana
5430,6,210,GUAMOTE,Urbana
1415,6,200,GUANANDO,Rural
1420,7,360,GUANAZAN,Rural
1430,5,105,GUANGAJE,Rural
1440,17,60,GUANGOPOLO,Rural
6630,2,165,GUANUJO,Urbana
1445,3,235,GUAPAN,Rural
1455,1,275,GUARAINAC,Rural
1460,12,520,GUARE,Rural
1500,5,825,GUASAGANDA,Rural
1465,6,215,GUASUNTOS,Rural
6650,12,540,GUAYACAN,Urbana
5440,10,30,GUAYAQUIL DE ALPACHACA,Urbana
1470,9,385,GUAYAS / PUERTO NUEVO,Rural
1475,17,60,GUAYLLABAMBA,Rural
1480,11,290,GUAYQUICHUMA,Rural
1485,5,100,GUAYTACAMA,Rural
5520,19,130,GUAYZIMI,Urbana
1490,1,280,GUEL,Rural
1425,7,360,GUIZHAGUIÑA,Rural
4630,15,700,HATUN SUMAKU,Rural
6865,1,260,HERMANO MIGUEL,Urbana
1610,13,470,HONORATO VASQUEZ,Rural
1605,3,240,HONORATO VASQUEZ,Rural
6665,4,995,HUACA,Urbana
5455,18,135,HUACHI CHICO,Urbana
1625,18,135,HUACHI GRANDE,Rural
5445,18,135,HUACHI LORETO,Urbana
6800,7,695,HUALTACO,Urbana
1630,18,140,HUAMBALO,Rural
1635,14,610,HUAMBI,Rural
6390,14,795,HUAMBOYA,Urbana
5460,7,695,HUAQUILLAS,Urbana
595,14,926,HUASAGA /WAMPUIK,Rural
5450,1,260,HUAYNACAPAC,Urbana
1655,7,360,HUERTAS,Rural
1660,6,215,HUIGRA,Rural
5465,5,100,IGNACIO FLORES,Urbana
1705,6,200,ILAPO,Rural
1710,10,40,IMANTAG,Rural
1715,10,45,IMBAYA,Rural
1720,14,600,INDANZA,Rural
1565,22,645,INES ARANGO,Rural
1725,3,240,INGAPIRCA,Rural
7170,17,60,IÑAQUITO,Urbana
6710,9,986,ISIDRO AYORA,Urbana
1735,5,930,ISINLIVI,Rural
1740,12,520,ISLA DE BEJUCAL,Rural
4415,20,800,ISLA SANTA MARIA,Rural
7175,17,60,ITCHIMBIA,Urbana
1745,18,135,IZAMBA,Rural
1805,1,265,JADAN,Rural
6750,13,476,JAMA,Urbana
7510,7,350,JAMBELI,Urbana
1815,7,355,JAMBELI,Rural
1795,21,625,JAMBELI,Rural
6755,13,446,JARAMIJO,Urbana
1825,3,235,JAVIER LOYOLA / CHUQUIPATA,Rural
1085,3,245,JERUSALEN,Rural
1830,9,435,JESUS MARIA,Rural
1835,4,20,JIJON Y CAAMAÑO,Rural
1840,11,300,JIMBILLA,Rural
1845,11,340,JIMBURA,Rural
7180,17,60,JIPIJAPA,Urbana
5485,13,455,JIPIJAPA,Urbana
5490,10,35,JORDAN,Urbana
1850,24,405,JOSE LUIS TAMAYO / MUEY,Rural
1905,5,100,JOSEGUANGO BAJO,Rural
1855,9,400,JUAN BAUTISTA AGUIRRE,Rural
1860,18,135,JUAN BENIGNO VELA,Rural
1865,6,205,JUAN DE VELASCO / PONGOR,Rural
1870,9,390,JUAN GOMEZ RENDON,Rural
5500,5,100,JUAN MONTALVO,Urbana
5495,17,65,JUAN MONTALVO,Urbana
1875,4,20,JUAN MONTALVO,Rural
7505,7,350,JUBONES,Urbana
1880,13,455,JULCUY,Rural
1885,4,5,JULIO ANDRADE,Rural
1890,2,165,JULIO E MORENO,Rural
6985,7,355,JUMON,Urbana
1900,3,240,JUNCAL,Rural
5505,13,490,JUNIN,Urbana
1595,9,430,JUNQUILLAL,Rural
7185,17,60,KENNEDY,Urbana
7190,17,60,LA ARGELIA,Urbana
6850,9,400,LA AURORA,Urbana
2005,7,355,LA AVANZADA,Rural
1820,22,645,LA BELLEZA,Rural
2230,7,370,LA BOCANA,Rural
5525,21,640,LA BONITA,Urbana
925,6,225,LA CANDELARIA,Rural
2170,19,661,LA CANELA,Rural
2015,19,660,LA CHONTA,Rural
7195,17,60,LA CONCEPCION,Urbana
2010,4,20,LA CONCEPCION,Rural
7520,23,982,LA CONCORDIA,Urbana
6780,10,30,LA DOLOROSA DEL PRIORATO,Urbana
7200,17,60,LA ECUATORIANA,Urbana
4615,12,710,LA ESMERALDA,Rural
4420,12,540,LA ESPERANZA,Rural
2025,17,75,LA ESPERANZA,Rural
2020,10,30,LA ESPERANZA,Rural
7205,17,60,LA FERROVIARIA,Urbana
245,7,380,LA IBERIA,Rural
6200,22,725,LA JOYA DE LOS SACHAS,Urbana
6610,24,965,LA LIBERTAD,Urbana
5535,17,60,LA LIBERTAD,Urbana
2040,4,15,LA LIBERTAD,Rural
1100,7,755,LA LIBERTAD,Rural
5540,17,60,LA MAGDALENA,Urbana
6535,5,825,LA MANA,Urbana
5555,5,100,LA MATRIZ,Urbana
5550,6,200,LA MATRIZ,Urbana
5545,18,135,LA MATRIZ,Urbana
7210,17,60,LA MENA,Urbana
5560,18,135,LA MERCED,Urbana
2055,17,60,LA MERCED,Rural
2060,10,55,LA MERCED DE BUENOS AIRES,Rural
2070,19,665,LA PAZ,Rural
2065,4,10,LA PAZ,Rural
2075,7,365,LA PEAÑA,Rural
5605,18,135,LA PENINSULA,Urbana
1545,13,445,LA PILA,Rural
5565,7,350,LA PROVIDENCIA,Urbana
2080,6,200,LA PROVIDENCIA,Rural
7445,9,425,LA PUNTILLA(SATELITE),Urbana
2085,11,325,LA RAMA,Rural
2095,21,640,LA SOFIA,Rural
6680,7,370,LA SUSAYA,Urbana
2120,11,311,LA TINGUE,Rural
2125,8,565,LA TOLA,Rural
5610,3,250,LA TRONCAL,Urbana
2135,13,470,LA UNION,Rural
2130,8,785,LA UNION,Rural
1535,1,915,LA UNION,Rural
1530,8,575,LA UNION,Rural
1525,12,515,LA UNION,Rural
560,13,455,LA UNION,Rural
2150,5,105,LA VICTORIA,Rural
2145,11,325,LA VICTORIA,Rural
2155,19,655,LA VICTORIA DE IMBANA,Rural
6335,7,755,LA VICTORIA/LAS LAJAS,Urbana
4640,23,982,LA VILLEGAS,Rural
2035,8,561,LAGARTO,Rural
1960,22,725,LAGO SAN PEDRO,Rural
2105,9,400,LAS LOJAS,Rural
6475,2,950,LAS MERCEDES,Urbana
6470,2,950,LAS NAVES,Urbana
2115,5,930,LAS PAMPAS,Rural
2090,13,495,LASCANO,Rural
2140,11,310,LAURO GUERRERO,Rural
5580,13,475,LEONIDAS PLAZA G.,Urbana
7495,13,445,LEONIDAS PROAÑO,Urbana
5585,9,390,LETAMENDI,Urbana
2160,6,195,LICAN,Rural
2165,6,195,LICTO,Rural
260,9,400,LIMONAL,Rural
2175,21,720,LIMONCOCHA,Rural
280,11,295,LIMONES,Rural
2180,15,255,LINARES,Rural
2185,10,30,LITA,Rural
5590,6,195,LIZARZABURU,Urbana
2255,1,260,LLACAO,Rural
2260,6,220,LLAGOS,Rural
2265,17,60,LLANO CHICO,Rural
2270,18,150,LLIGUA,Rural
2275,17,60,LLOA,Rural
2280,11,305,LLUZHAPA,Rural
6725,13,470,LODANA,Urbana
6735,14,611,LOGROÑO,Urbana
6365,7,365,LOMA DE FRANCO,Urbana
6440,9,920,LOMAS DE SARGENTILLO,Urbana
6455,22,935,LORETO,Urbana
2210,18,155,LOS ANDES,Rural
2205,4,25,LOS ANDES,Rural
4585,12,545,LOS ANGELES,Rural
2240,19,670,LOS ENCUENTROS,Rural
5570,13,450,LOS ESTEROS,Urbana
5595,11,310,LOURDES,Urbana
2215,1,280,LUDO,Rural
2220,3,235,LUIS CORDERO,Rural
1760,1,265,LUIS CORDERO VEGA,Rural
1585,1,915,LUIS GALARZA O. (DELEGSOL),Rural
5600,8,560,LUIS TELLO / LAS PALMAS /,Urbana
2225,8,565,LUIS VARGAS TORRES,Rural
